Section,Title,External ID,Preconditions,Steps,Expected Result,Priority,Type,Automation Type,References
Protocol & Headers,TD_P1_001_TC_001 - Primary Condition: POST method with valid headers and payload; kiểm tra gọi API thành công,TD_P1_001_TC_001,Kết nối mạng SIT ổn định; Token xác thực còn hiệu lực,"Test Data:
Headers:
- authToken: ""ValidToken_QA_2026""
- requestID: ""REQ-20260520-001""
- X-App-Code: ""CCTG_ONLINE_PORTAL""
- Accept-language: ""vi""
- Content-Type: ""application/json""
Body:
{
  ""requestCif"": ""685607800001""
}

Steps:
1. Thiết lập phương thức POST và endpoint /v1/customer/validate
2. Cấu hình đầy đủ headers theo danh sách dữ liệu test
3. Đính kèm request body chứa requestCif gồm 12 chữ số hợp lệ nghiệp vụ
4. Thực hiện gửi request và kiểm tra phản hồi từ hệ thống

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK
Verify response JSON có cấu trúc thành công:
- success: true
- code: ""0""
- message: ""SUCCESS""
- errors: null
- traceId: chuỗi định dạng UUID không rỗng
- responseTime: thời gian ISO-8601 hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 200 OK
Verify response JSON có cấu trúc thành công:
- success: true
- code: ""0""
- message: ""SUCCESS""
- errors: null
- traceId: chuỗi định dạng UUID không rỗng
- responseTime: thời gian ISO-8601 hợp lệ",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Protocol & Headers,TD_P1_002_TC_001 - Primary Condition: Gửi request với HTTP method GET không hợp lệ,TD_P1_002_TC_001,Endpoint /v1/customer/validate được cấu hình trên Gateway,"Test Data:
Headers & Body như TD_P1_001 nhưng đổi Method sang GET

Steps:
1. Thiết lập phương thức GET và endpoint /v1/customer/validate
2. Gửi request kèm đầy đủ headers và body
3. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 405 Method Not Allowed hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- code: mã lỗi phương thức hoặc thông báo lỗi từ Gateway","Kiểm tra phản hồi trả về HTTP Status: 405 Method Not Allowed hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- code: mã lỗi phương thức hoặc thông báo lỗi từ Gateway",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: METHOD
Protocol & Headers,TD_P1_003_TC_001 - Primary Condition: Gửi request với Content-Type không hợp lệ,TD_P1_003_TC_001,Hệ thống kiểm tra định dạng gói tin đầu vào,"Test Data:
Header Content-Type: ""text/plain""
Body: ""{ \""requestCif\"": \""685607800001\"" }""

Steps:
1. Thiết lập phương thức POST và endpoint /v1/customer/validate
2. Cấu hình header Content-Type là ""text/plain""
3. Gửi request chứa body dạng text thô
4. Thực hiện gửi request và kiểm tra phản hồi lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 415 Unsupported Media Type hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Có mã lỗi hoặc thông báo định dạng không hợp lệ","Kiểm tra phản hồi trả về HTTP Status: 415 Unsupported Media Type hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Có mã lỗi hoặc thông báo định dạng không hợp lệ",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: CONTENT_TYPE
Protocol & Headers,TD_P1_004_TC_001 - Primary Condition: Thiếu header authToken bắt buộc xác thực,TD_P1_004_TC_001,Khách hàng chưa đăng nhập hoặc session hết hạn,"Test Data:
Headers không chứa key authToken
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header authToken khỏi request headers
3. Gửi request với body hợp lệ
4. Thực hiện gửi request và kiểm tra lỗi xác thực

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 401 Unauthorized hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi xác thực thông tin tài khoản","Kiểm tra phản hồi trả về HTTP Status: 401 Unauthorized hoặc HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi xác thực thông tin tài khoản",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: AUTH
Protocol & Headers,TD_P1_005_TC_001 - Primary Condition: Thiếu header requestID bắt buộc kiểm tra,TD_P1_005_TC_001,Cấu hình tham số bắt buộc của API Gateway,"Test Data:
Headers không chứa key requestID
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header requestID khỏi request headers
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu trường bắt buộc hoặc thiếu requestID","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu trường bắt buộc hoặc thiếu requestID",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: MANDATORY_HEADERS
Protocol & Headers,TD_P1_006_TC_001 - Primary Condition: Thiếu header X-App-Code bắt buộc kiểm tra,TD_P1_006_TC_001,Cấu hình nhận diện ứng dụng gọi API,"Test Data:
Headers không chứa key X-App-Code
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header X-App-Code khỏi request headers
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu thông tin định danh ứng dụng gọi API","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo thiếu thông tin định danh ứng dụng gọi API",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: MANDATORY_HEADERS
Protocol & Headers,TD_P1_007_TC_001 - Primary Condition: Thiếu header Accept-language trong yêu cầu,TD_P1_007_TC_001,Hệ thống sử dụng ngôn ngữ mặc định,"Test Data:
Headers không chứa key Accept-language
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Loại bỏ header Accept-language khỏi request headers
3. Gửi request và kiểm tra ngôn ngữ trả về

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 200 OK (nếu fallback về ngôn ngữ mặc định là vi) hoặc HTTP Status: 400 Bad Request. Phản hồi response có ngôn ngữ mặc định.",Kiểm tra phản hồi trả về HTTP Status: 200 OK (nếu fallback về ngôn ngữ mặc định là vi) hoặc HTTP Status: 400 Bad Request. Phản hồi response có ngôn ngữ mặc định.,Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: LANGUAGE
Protocol & Headers,TD_P1_008_TC_001 - Primary Condition: Header Accept-language sai giá trị không được hỗ trợ,TD_P1_008_TC_001,Hệ thống hỗ trợ xử lý đa ngôn ngữ,"Test Data:
Header Accept-language: ""fr""
Các thông tin khác hợp lệ

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình header Accept-language là ""fr""
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request hoặc tự động sử dụng ngôn ngữ mặc định. Báo lỗi hoặc response trả về an toàn.",Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request hoặc tự động sử dụng ngôn ngữ mặc định. Báo lỗi hoặc response trả về an toàn.,Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: LANGUAGE
Body Schema Validation,TD_P2_001_TC_001 - Primary Condition: Thiếu trường requestCif trong body payload,TD_P2_001_TC_001,Ràng buộc schema gói tin request,"Test Data:
Body:
{
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body rỗng {}
3. Gửi request và kiểm tra thông tin lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Verify response JSON có cấu trúc failure:
- success: false
- Báo lỗi thiếu trường bắt buộc requestCif","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Verify response JSON có cấu trúc failure:
- success: false
- Báo lỗi thiếu trường bắt buộc requestCif",High,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: RESPONSE_SCHEMA
Body Schema Validation,TD_P2_002_TC_001 - Primary Condition: Trường requestCif truyền sai kiểu dữ liệu kiểu số thay vì chuỗi,TD_P2_002_TC_001,Ràng buộc schema kiểu dữ liệu,"Test Data:
Body:
{
  ""requestCif"": 685607800001
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body chứa requestCif là số 685607800001
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi sai định dạng hoặc kiểu dữ liệu","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi sai định dạng hoặc kiểu dữ liệu",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
Body Schema Validation,TD_P2_003_TC_001 - Primary Condition: Trường requestCif rỗng không hợp lệ,TD_P2_003_TC_001,Ràng buộc schema kiểm tra độ dài tối thiểu,"Test Data:
Body:
{
  ""requestCif"": """"
}

Steps:
1. Thiết lập request POST /v1/customer/validate
2. Cấu hình request body có requestCif = """"
3. Gửi request và kiểm tra lỗi

Expected Result:
Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi trường bắt buộc không được để trống","Kiểm tra phản hồi trả về HTTP Status: 400 Bad Request
Response:
- success: false
- Báo lỗi trường bắt buộc không được để trống",Medium,Functional,Automated Candidate,POST /v1/customer/validate | Coverage: BODY_SCHEMA
