Test Case ID	Function	Group Tests	Scenario Outline	"Test Case
Summary"	Pre-conditions	Test Data	Test Steps	"Expected
result"	Environment	Priority	Regression	Automation	"Manual Test Results
Round 1"	Manual Test Results Round 2	Automation Test Results	"Actual
result"	BugID	Notes
 TD_P1_002_TC_001	"Cấu phần 1: Kiểm thử Phương thức &
Header"	Method & Header	Happy Path (Method và Header hoàn toàn hợp lệ)	"Kiểm
tra gọi API thành công khi sử dụng Method POST và đầy đủ Header authToken,
requestID, X-App-Code hợp lệ"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
requestID, X-App-Code\n6. Pre-Data: Dữ liệu sản phẩm CCTG đã được cấu hình trên
môi trường SIT"	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Thiết lập dữ liệu Request Body từ file
product_list.json.\n4. Gọi API product_list với Method POST.\n5. Kiểm tra giá
trị trả về của các trường trong Response Body:\n- HTTP Status: 200\n- $.code =
""0""\n- $.message = ""SUCCESS""\n- $.success = true\n- $.data: Chứa danh sách
các sản phẩm (term, prodCode, curCode, minCrd, maxCrd, frequencies, pmo,
depositAmount, interestCode, interestRate)"	"5.\nHTTP Status: 200\nResponse
Body:\n{\n ""code"": ""0"",\n ""message"": ""SUCCESS"",\n ""errors"": null,\n
""traceId"": ""[REDACTED_SECRET]"",\n
""responseTime"": ""2025-01-02T11:09:03.109+07:00"",\n ""data"": [\n {\n
""term"": ""12M"",\n ""prodCode"": ""CCTG001"",\n ""curCode"": ""VND"",\n
""minCrd"": ""1000000"",\n ""maxCrd"": ""500000000"",\n ""frequencies"":
""Monthly"",\n ""pmo"": ""Roll"",\n ""depositAmount"": ""10000000"",\n
""interestCode"": ""INT01"",\n ""interestRate"": ""6.5""\n }\n ],\n ""success"":
true\n}"	SIT	High	Yes	Yes
 TD_P1_002_TC_002	"Cấu
phần 1: Kiểm thử Phương thức & Header"	Method & Header	"Gọi API với sai HTTP
Method (GET)"	"Kiểm tra hệ thống từ chối yêu cầu và trả về lỗi phù hợp khi sử
dụng Method GET thay vì POST"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
requestID, X-App-Code"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list với Method GET.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 405 (Method Not Allowed) hoặc 404"	"4.\nHTTP
Status: 405\nResponse Body:\n{\n ""code"": ""405"",\n ""message"": ""Method Not
Allowed"",\n ""success"": false\n}"	SIT	Medium	No	Yes
TD_P1_003_TC_003	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Gọi API với sai HTTP Method (PUT)	"Kiểm tra hệ thống từ chối yêu cầu
khi sử dụng Method PUT"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
requestID, X-App-Code"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list với Method PUT.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 405 (Method Not Allowed)"	"4.\nHTTP
Status: 405\nResponse Body:\n{\n ""code"": ""405"",\n ""message"": ""Method Not
Allowed"",\n ""success"": false\n}"	SIT	Medium	No	Yes
TD_P1_004_TC_004	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Header authToken bị Missing	"Kiểm tra hệ thống trả về lỗi Unauthorized
(401) khi không truyền header authToken"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3.
URL: http:[REDACTED_SECRET]\n4.
Endpoint: /v1/product/list\n5. Header: Content-Type=application/json, requestID,
X-App-Code"	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
requestID=""REQ_001"", X-App-Code=""CCTG_WEB"" (Bỏ qua authToken).\n3. Gọi API
product_list với Method POST.\n4. Kiểm tra giá trị trả về:\n- HTTP
Status: 401\n- $.success = false"	"4.\nHTTP Status: 401\nResponse Body:\n{\n
""code"": ""401"",\n ""message"": ""Unauthorized"",\n ""success"":
false\n}"	SIT	High	Yes	Yes
 TD_P1_005_TC_005	"Cấu
phần 1: Kiểm thử Phương thức & Header"	Method & Header	"Header authToken
chứa giá trị không hợp lệ"	"Kiểm tra hệ thống trả về lỗi 401 khi truyền
authToken là chuỗi ký tự không hợp lệ"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3.
URL: http:[REDACTED_SECRET]\n4.
Endpoint: /v1/product/list\n5. Header: Content-Type=application/json, requestID,
X-App-Code"	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""INVALID_TOKEN_ABC"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list với Method POST.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 401\n- $.success = false"	"4.\nHTTP
Status: 401\nResponse Body:\n{\n ""code"": ""401"",\n ""message"": ""Invalid
Token"",\n ""success"": false\n}"	SIT	High	Yes	Yes
TD_P1_006_TC_006	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Header authToken đã hết hạn (Expired)	"Kiểm tra hệ thống trả về
lỗi 401 khi truyền authToken đã hết thời gian hiệu lực"	"1. Env: SIT\n2. DB:
[PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, requestID,
X-App-Code"	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""EXPIRED_TOKEN_XYZ"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list với Method POST.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 401\n- $.success = false"	"4.\nHTTP
Status: 401\nResponse Body:\n{\n ""code"": ""401"",\n ""message"": ""Token
Expired"",\n ""success"": false\n}"	SIT	High	Yes	Yes
TD_P1_007_TC_007	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Truyền sai Content-Type (text/plain)	"Kiểm tra hệ thống trả về lỗi 415
khi Header Content-Type là text/plain thay vì application/json"	"1. Env: SIT\n2.
DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: authToken, requestID, X-App-Code"	"1. File:
product_list.json\n2. Body: {""requestCif"": 6856078, ""productCode"":
""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=text/plain,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list với Method POST.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 415 (Unsupported Media Type)\n- $.success =
false"	"4.\nHTTP Status: 415\nResponse Body:\n{\n ""code"": ""415"",\n
""message"": ""Unsupported Media Type"",\n ""success"":
false\n}"	SIT	Medium	No	Yes
 TD_P1_008_TC_008	"Cấu
phần 1: Kiểm thử Phương thức & Header"	Method & Header	"Truyền sai
Content-Type (application/xml)"	"Kiểm tra hệ thống trả về lỗi 415 khi Header
Content-Type là application/xml"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: authToken, requestID, X-App-Code"	"1. File:
product_list.json\n2. Body: 6856078"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/xml,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""CCTG_WEB"".\n3. Gọi API product_list with Method POST.\n4. Kiểm tra
giá trị trả về:\n- HTTP Status: 415 (Unsupported Media Type)"	"4.\nHTTP
Status: 415\nResponse Body:\n{\n ""code"": ""415"",\n ""message"": ""Unsupported
Media Type"",\n ""success"":
false\n}"	SIT	Medium	No	Yes
 TD_P1_009_TC_009	"Cấu
phần 1: Kiểm thử Phương thức & Header"	Method & Header	"Thiếu Custom Header
'requestID'"	"Kiểm tra hệ thống trả về lỗi 400 khi thiếu header bắt buộc
requestID để trace log"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
X-App-Code\n6. [ASSUMPTION: requestID là bắt buộc để trace log]"	"1. File:
product_list.json\n2. Body: {""requestCif"": 6856078, ""productCode"":
""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", X-App-Code=""CCTG_WEB"" (Bỏ qua requestID).\n3.
Gọi API product_list với Method POST.\n4. Kiểm tra giá trị trả về:\n- HTTP
Status: 400\n- $.success = false"	"4.\nHTTP Status: 400\nResponse Body:\n{\n
""code"": ""400"",\n ""message"": ""Bad Request: Missing requestID"",\n
""success"": false\n}"	SIT	Medium	No	Yes
TD_P1_010_TC_010	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Thiếu Custom Header 'X-App-Code'	"Kiểm tra hệ thống trả về lỗi 400 khi
thiếu header bắt buộc X-App-Code để định danh ứng dụng"	"1. Env: SIT\n2. DB:
[PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
requestID\n6. [ASSUMPTION: X-App-Code là bắt buộc để định danh ứng dụng gọi
API]"	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"" (Bỏ qua X-App-Code).\n3.
Gọi API product_list với Method POST.\n4. Kiểm tra giá trị trả về:\n- HTTP
Status: 400\n- $.success = false"	"4.\nHTTP Status: 400\nResponse Body:\n{\n
""code"": ""400"",\n ""message"": ""Bad Request: Missing X-App-Code"",\n
""success"": false\n}"	SIT	Medium	No	Yes
